,abs_coef,coef
RoofMatl_membran,0.21915658981081246,0.21915658981081246
Exterior1st_brkcomm,0.1929584906151496,-0.1929584906151496
Neighborhood_stonebr,0.1327991787467754,0.1327991787467754
Foundation_wood,0.1323126088065686,-0.1323126088065686
SaleType_new,0.129531816365063,0.129531816365063
Neighborhood_crawfor,0.12741011444554515,0.12741011444554515
RoofMatl_wdshngl,0.11534208609111642,0.11534208609111642
Street_pave,0.11211123634114334,0.11211123634114334
Neighborhood_meadowv,0.10493131182142965,-0.10493131182142965
Neighborhood_idotrr,0.10491108398186594,-0.10491108398186594
Neighborhood_nridght,0.08854762267245662,0.08854762267245662
Heating_grav,0.08676976108457123,-0.08676976108457123
RoofStyle_gambrel,0.0836361006207559,-0.0836361006207559
SaleType_cwd,0.08246034482241284,0.08246034482241284
Foundation_stone,0.07946397117290513,0.07946397117290513
SaleCondition_normal,0.07769963553044472,0.07769963553044472
BldgType_twnhs,0.07427992962312106,-0.07427992962312106
MSSubClass_30,0.06719015771793523,-0.06719015771793523
Exterior1st_brkface,0.06508830730032908,0.06508830730032908
MSSubClass_160,0.06185712339535592,-0.06185712339535592
Condition1_rrae,0.061795032632138,-0.061795032632138
CentralAir_y,0.06107508177587655,0.06107508177587655
Neighborhood_somerst,0.06052973121146876,0.06052973121146876
KitchenAbvGr,0.05894421179242549,-0.05894421179242549
HouseStyle_2.5fin,0.05828418218640832,-0.05828418218640832
Condition2_norm,0.05246189238152845,0.05246189238152845
Exterior2nd_stucco,0.04958086639535844,0.04958086639535844
OverallQual,0.049166441166515265,0.049166441166515265
Condition1_norm,0.04830827955821444,0.04830827955821444
BldgType_twnhse,0.043731896422716784,-0.043731896422716784
Neighborhood_brkside,0.04064878310179602,0.04064878310179602
OverallCond,0.04027741981405576,0.04027741981405576
Fence_gdwo,0.03517803134700584,-0.03517803134700584
LotShape_ir2,0.03419317321717768,0.03419317321717768
Heating_gasw,0.03392231184388447,0.03392231184388447
LotConfig_culdsac,0.032746125474980764,0.032746125474980764
Neighborhood_brdale,0.03260791859146289,-0.03260791859146289
Neighborhood_mitchel,0.031490112871134145,-0.031490112871134145
FullBath,0.03047833646469217,0.03047833646469217
MSZoning_fv,0.029484080559260002,0.029484080559260002
Neighborhood_noridge,0.028821143342869927,0.028821143342869927
Neighborhood_veenker,0.028144058163032535,0.028144058163032535
MSZoning_rl,0.027450120714891283,0.027450120714891283
HalfBath,0.026261313206059202,0.026261313206059202
MiscFeature_nothing,0.025795009197873423,0.025795009197873423
BsmtFullBath,0.02536031406039173,0.02536031406039173
Functional,0.024841068112054266,0.024841068112054266
Foundation_pconc,0.024476741683547833,0.024476741683547833
Neighborhood_oldtown,0.02424840513756731,-0.02424840513756731
MasVnrType_stone,0.023842401673269523,0.023842401673269523
Neighborhood_nwames,0.023706596332770117,-0.023706596332770117
Exterior1st_metalsd,0.02282721627856235,0.02282721627856235
GarageCars,0.02041496056730172,0.02041496056730172
Neighborhood_edwards,0.0203887401952621,-0.0203887401952621
Fireplaces,0.01837729372389876,0.01837729372389876
GarageType_basment,0.01807432122795394,-0.01807432122795394
KitchenQual,0.01634971698235752,0.01634971698235752
LotConfig_inside,0.011605594061516095,-0.011605594061516095
BsmtExposure,0.011400716147069742,0.011400716147069742
GarageQual,0.010314713995297502,0.010314713995297502
HeatingQC,0.007383337679798607,0.007383337679798607
Exterior2nd_hdboard,0.007304260008319976,-0.007304260008319976
BsmtQual,0.007098139873725516,0.007098139873725516
TotRmsAbvGrd,0.0058443325162718905,0.0058443325162718905
GarageFinish,0.005620705466722968,0.005620705466722968
ExterQual,0.005522074476498999,0.005522074476498999
PavedDrive_y,0.005100691142366943,0.005100691142366943
Exterior1st_hdboard,0.004629085461489757,-0.004629085461489757
YrSold,0.00446009999037747,-0.00446009999037747
Exterior1st_wd sdng,0.0025671638180118964,-0.0025671638180118964
BsmtFinType1,0.0023850573839959742,0.0023850573839959742
FireplaceQu,0.00227954133337801,0.00227954133337801
YearBuilt,0.001632727138979467,0.001632727138979467
YearRemodAdd,0.0006726887847506686,0.0006726887847506686
GrLivArea,0.00021794671319113658,0.00021794671319113658
ScreenPorch,0.00019186048340669732,0.00019186048340669732
LotFrontage,0.000152095106941895,0.000152095106941895
OpenPorchSF,0.00011183816619946575,0.00011183816619946575
LowQualFinSF,0.00010732665930078926,-0.00010732665930078926
GarageArea,7.350121603870285e-05,7.350121603870285e-05
WoodDeckSF,6.792403378563076e-05,6.792403378563076e-05
TotalBsmtSF,6.733418235997119e-05,6.733418235997119e-05
BsmtFinSF1,6.713054849722887e-05,6.713054849722887e-05
MasVnrArea,4.8940672913552065e-05,4.8940672913552065e-05
1stFlrSF,4.7164118859339354e-05,4.7164118859339354e-05
BsmtFinSF2,3.2552626851320494e-05,3.2552626851320494e-05
LotArea,1.7023224645213407e-06,1.7023224645213407e-06
